Matematika,Bahasa_Inggris,IPA,IPS,Minat,Hobi,Kemampuan_Komputer,Kemampuan_Komunikasi,Kemampuan_Kepemimpinan,Kemampuan_Analisis,Kemampuan_Kreativitas,Kemampuan_Problem_Solving,Mata_Pelajaran_Favorit,Gaya_Belajar,Tujuan_Karier,Aktivitas_Organisasi,Prestasi_Akademik,Prestasi_NonAkademik,Jurusan
82,88,63,75,Sosial,Desain Grafis,Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,Ekonomi,Visual,Apoteker,Pramuka,Provinsi - Sains,Tidak Ada,Desain Komunikasi Visual
84,77,64,79,Bisnis,Fotografi,Rendah,Sedang,Sedang,Sedang,Sedang,Tinggi,Biologi,Auditori,Dosen,Tidak Aktif,Sekolah - Ekonomi,Seni - Kabupaten,Administrasi Bisnis
66,91,86,89,Pendidikan,Public Speaking,Rendah,Sedang,Tinggi,Sedang,Sedang,Sedang,Sosiologi,Auditori,Dosen,PMR,Kecamatan - Bahasa Inggris,Organisasi - Provinsi,Pendidikan
75,91,69,95,Seni,Public Speaking,Rendah,Tinggi,Rendah,Rendah,Tinggi,Sedang,Informatika,Visual,Network Engineer,Komunitas Olahraga,Sekolah - Debat,Kepemimpinan - Kabupaten,Ilmu Komunikasi
72,61,87,71,Olahraga,Atletik,Tinggi,Tinggi,Sedang,Tinggi,Rendah,Tinggi,PJOK,Visual,Dosen,Komunitas Olahraga,Sekolah - Sains,Olahraga - Provinsi,Ilmu Keolahragaan
79,79,70,92,Bisnis,Berjualan,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Ekonomi,Visual,Business Analyst,MPK,Kecamatan - Bahasa Inggris,Kepemimpinan - Kabupaten,Manajemen
82,69,77,92,Bisnis,Investasi,Sedang,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Ekonomi,Visual,Entrepreneur,MPK,Tidak Ada,Organisasi - Kecamatan,Manajemen Bisnis
65,79,66,64,Teknologi,Membaca,Sedang,Tinggi,Tinggi,Rendah,Rendah,Sedang,Fisika,Membaca/Menulis,Dokter,Komunitas Seni,Provinsi - Fisika,Seni - Internasional,Teknik Informatika
77,80,53,75,Sosial,Public Speaking,Sedang,Sedang,Tinggi,Sedang,Rendah,Tinggi,Sosiologi,Membaca/Menulis,Pengacara,Tidak Aktif,Provinsi - Bahasa Indonesia,Tidak Ada,Hukum
61,83,63,66,Kesehatan,Volunteering,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Sedang,Seni Budaya,Membaca/Menulis,Konsultan Lingkungan,OSIS,Provinsi - Kimia,Olahraga - Sekolah,Farmasi
73,68,79,68,Kesehatan,Penelitian,Sedang,Tinggi,Sedang,Sedang,Rendah,Sedang,Biologi,Membaca/Menulis,Apoteker,OSIS,Sekolah - Matematika,Seni - Kecamatan,Farmasi
62,72,54,81,Sosial,Content Creator,Sedang,Sedang,Tinggi,Sedang,Tinggi,Sedang,Bahasa Indonesia,Visual,Content Creator,Komunitas Seni,Kecamatan - Debat,Kepemimpinan - Internasional,Ilmu Komunikasi
81,73,99,77,Kesehatan,Volunteering,Sedang,Tinggi,Sedang,Sedang,Sedang,Tinggi,Kimia,Visual,Dosen,PMR,Sekolah - Matematika,Olahraga - Provinsi,Kedokteran
63,83,83,84,Lingkungan,Membaca,Sedang,Rendah,Tinggi,Rendah,Sedang,Tinggi,Bahasa Indonesia,Kinestetik,Psikolog,MPK,Sekolah - Kimia,Organisasi - Provinsi,Teknik Lingkungan
66,72,58,76,Bisnis,Membaca,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Ekonomi,Auditori,Manajer,OSIS,Provinsi - Bahasa Inggris,Organisasi - Internasional,Administrasi Bisnis
88,83,67,92,Bisnis,Fotografi,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Rendah,Bahasa Indonesia,Auditori,Insinyur Sipil,Karang Taruna,Sekolah - Debat,Kepemimpinan - Internasional,Manajemen Bisnis
97,64,76,59,Teknik,Penelitian,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Matematika,Kinestetik,Insinyur Mesin,OSIS,Sekolah - Matematika,Tidak Ada,Teknik Mesin
67,72,81,60,Teknik,Video Editing,Sedang,Sedang,Tinggi,Sedang,Tinggi,Rendah,Seni Budaya,Auditori,Konsultan Lingkungan,Komunitas Olahraga,Provinsi - Fisika,Organisasi - Provinsi,Arsitektur
92,62,88,76,Teknik,Merakit Elektronik,Tinggi,Sedang,Sedang,Tinggi,Sedang,Sedang,Fisika,Visual,Konsultan Lingkungan,BEM,Tidak Ada,Organisasi - Nasional,Teknik Sipil
86,72,57,91,Bisnis,Menulis,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Sedang,Ekonomi,Membaca/Menulis,Akuntan,OSIS,Sekolah - Matematika,Pramuka - Sekolah,Akuntansi
82,69,100,75,Lingkungan,Membaca,Rendah,Sedang,Rendah,Sedang,Sedang,Tinggi,Fisika,Membaca/Menulis,Insinyur Sipil,Karang Taruna,Nasional - Sains,Organisasi - Kecamatan,Teknik Lingkungan
83,88,65,72,Teknologi,Fotografi,Tinggi,Sedang,Rendah,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Business Analyst,Karang Taruna,Tidak Ada,Tidak Ada,Teknik Elektro
90,80,91,73,Kesehatan,Volunteering,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Kimia,Membaca/Menulis,Dokter,PMR,Internasional - Biologi,Tidak Ada,Kedokteran
91,70,85,61,Teknologi,Game Development,Tinggi,Sedang,Rendah,Tinggi,Tinggi,Tinggi,Fisika,Visual,Software Engineer,Tidak Aktif,Kecamatan - Matematika,Tidak Ada,Teknik Elektro
61,91,74,86,Sosial,Debat,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Bahasa Indonesia,Membaca/Menulis,Dosen,MPK,Sekolah - Debat,Kepemimpinan - Sekolah,Hukum
91,67,99,67,Teknik,Robotika,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Fisika,Visual,Insinyur Sipil,OSIS,Sekolah - Fisika,Organisasi - Sekolah,Teknik Mesin
100,76,94,88,Kesehatan,Volunteering,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Matematika,Membaca/Menulis,Dokter,OSIS,Kecamatan - Biologi,Olahraga - Kecamatan,Kedokteran
96,72,88,64,Teknik,Investasi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Matematika,Membaca/Menulis,Insinyur Mesin,MPK,Kabupaten - Matematika,Kepemimpinan - Sekolah,Teknik Industri
74,99,61,72,Bisnis,Berjualan,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Matematika,Auditori,Entrepreneur,BEM,Kabupaten - Debat,Kepemimpinan - Kabupaten,Manajemen Bisnis
58,58,79,81,Pendidikan,Menulis,Sedang,Tinggi,Tinggi,Sedang,Rendah,Rendah,Sejarah,Kinestetik,Konsultan Lingkungan,Tidak Aktif,Sekolah - Bahasa Inggris,Kepemimpinan - Nasional,Hukum
79,78,77,82,Lingkungan,Volunteering,Tinggi,Sedang,Rendah,Tinggi,Tinggi,Tinggi,Kimia,Membaca/Menulis,Konsultan Lingkungan,Karang Taruna,Kabupaten - Kimia,Tidak Ada,Teknik Lingkungan
98,76,88,70,Kesehatan,Membaca,Sedang,Sedang,Sedang,Sedang,Sedang,Tinggi,Biologi,Membaca/Menulis,Dosen,OSIS,Sekolah - Sains,Tidak Ada,Kedokteran
91,78,97,71,Kesehatan,Membaca,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Biologi,Membaca/Menulis,Dosen,Organisasi Keagamaan,Kabupaten - Matematika,Kepemimpinan - Kecamatan,Kedokteran
82,66,98,68,Lingkungan,Volunteering,Sedang,Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Dosen,Karang Taruna,Kecamatan - Kimia,Tidak Ada,Teknik Lingkungan
94,76,97,80,Kesehatan,Penelitian,Sedang,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Biologi,Membaca/Menulis,Dosen,PMR,Kecamatan - Biologi,Pramuka - Nasional,Kedokteran
81,84,57,84,Bisnis,Investasi,Tinggi,Sedang,Sedang,Sedang,Sedang,Tinggi,Ekonomi,Membaca/Menulis,Business Analyst,Organisasi Keagamaan,Tidak Ada,Organisasi - Nasional,Akuntansi
68,57,64,69,Pendidikan,Taekwondo,Rendah,Sedang,Rendah,Tinggi,Sedang,Sedang,Sejarah,Auditori,Psikolog,Komunitas Seni,Kecamatan - Biologi,Olahraga - Provinsi,Ilmu Keolahragaan
64,58,89,68,Olahraga,Renang,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Biologi,Kinestetik,Pelatih Olahraga,Komunitas Olahraga,Tidak Ada,Olahraga - Provinsi,Ilmu Keolahragaan
80,61,64,67,Seni,Video Editing,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Bahasa Inggris,Visual,Content Creator,OSIS,Provinsi - Matematika,Organisasi - Sekolah,Desain Komunikasi Visual
65,77,79,84,Kesehatan,Penelitian,Sedang,Sedang,Sedang,Sedang,Rendah,Sedang,Informatika,Kinestetik,Software Engineer,Karang Taruna,Internasional - Kimia,PMR - Provinsi,Kedokteran
100,89,80,74,Teknik,Berjualan,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Fisika,Visual,Manajer,BEM,Sekolah - Fisika,Organisasi - Provinsi,Teknik Industri
76,69,77,83,Seni,Fotografi,Sedang,Tinggi,Rendah,Sedang,Tinggi,Tinggi,Bahasa Inggris,Visual,UI UX Designer,OSIS,Tidak Ada,Organisasi - Nasional,Desain Komunikasi Visual
68,71,79,82,Teknik,Musik,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Informatika,Visual,Manajer,Pramuka,Provinsi - Fisika,Organisasi - Kecamatan,Arsitektur
77,93,71,73,Bisnis,Content Creator,Sedang,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Bahasa Inggris,Visual,Business Analyst,MPK,Kabupaten - Debat,Tidak Ada,Manajemen Bisnis
91,77,77,79,Teknologi,Game Development,Sedang,Rendah,Sedang,Tinggi,Tinggi,Tinggi,Informatika,Visual,Software Engineer,Komunitas IT,Kabupaten - Informatika,Tidak Ada,Teknik Informatika
80,70,87,77,Teknik,Penelitian,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Matematika,Membaca/Menulis,Manajer,OSIS,Kecamatan - Sains,Organisasi - Internasional,Teknik Industri
79,67,80,77,Seni,Desain Grafis,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Visual,UI UX Designer,Komunitas Seni,Sekolah - Sains,Tidak Ada,Desain Komunikasi Visual
54,87,62,78,Sosial,Menulis,Rendah,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Sosiologi,Visual,Manajer,MPK,Sekolah - Debat,Organisasi - Provinsi,Ilmu Komunikasi
63,68,83,75,Psikologi,Volunteering,Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Sosiologi,Membaca/Menulis,Psikolog,BEM,Tidak Ada,Kepemimpinan - Kecamatan,Psikologi
66,80,57,75,Bisnis,Berjualan,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Bahasa Inggris,Visual,Business Analyst,MPK,Sekolah - Ekonomi,Organisasi - Kabupaten,Manajemen Bisnis
78,69,67,63,Seni,Video Editing,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Sedang,Informatika,Visual,UI UX Designer,Komunitas Seni,Kecamatan - Sains,Seni - Provinsi,Desain Komunikasi Visual
100,64,96,74,Teknik,Membaca,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Fisika,Visual,Business Analyst,OSIS,Kabupaten - Matematika,Tidak Ada,Teknik Industri
74,70,69,76,Seni,Video Editing,Rendah,Sedang,Rendah,Tinggi,Tinggi,Rendah,Kimia,Kinestetik,Manajer,Pramuka,Kecamatan - Sains,Organisasi - Nasional,Desain Komunikasi Visual
73,91,61,84,Bisnis,Investasi,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Sedang,Bahasa Inggris,Visual,Entrepreneur,MPK,Tidak Ada,Olahraga - Sekolah,Manajemen Bisnis
63,85,75,80,Pendidikan,Menulis,Sedang,Sedang,Sedang,Rendah,Sedang,Sedang,Sejarah,Visual,Pelatih Olahraga,BEM,Kabupaten - Ekonomi,Kepemimpinan - Nasional,Akuntansi
77,79,61,81,Lingkungan,Penelitian,Sedang,Tinggi,Rendah,Tinggi,Rendah,Rendah,Bahasa Indonesia,Visual,Data Scientist,OSIS,Sekolah - Biologi,Organisasi - Internasional,Psikologi
78,65,80,85,Teknologi,Coding,Tinggi,Rendah,Sedang,Tinggi,Rendah,Rendah,Seni Budaya,Auditori,Insinyur Mesin,PMR,Kecamatan - Informatika,Tidak Ada,Teknik Informatika
61,88,59,92,Sosial,Menulis,Sedang,Rendah,Rendah,Rendah,Sedang,Tinggi,Kimia,Visual,Dokter,OSIS,Sekolah - Ekonomi,Tidak Ada,Administrasi Bisnis
90,66,86,84,Pendidikan,Fotografi,Tinggi,Rendah,Sedang,Rendah,Rendah,Sedang,Bahasa Inggris,Membaca/Menulis,Konsultan Lingkungan,PMR,Kabupaten - Bahasa Inggris,Tidak Ada,Pendidikan
63,85,76,83,Psikologi,Menulis,Sedang,Sedang,Tinggi,Sedang,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Psikolog,OSIS,Tidak Ada,Tidak Ada,Psikologi
83,80,68,89,Sosial,Public Speaking,Sedang,Sedang,Sedang,Tinggi,Sedang,Sedang,Sosiologi,Auditori,Dosen,OSIS,Kabupaten - Debat,Tidak Ada,Hukum
76,80,81,74,Bisnis,Berjualan,Rendah,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Ekonomi,Auditori,Manajer,MPK,Kecamatan - Debat,Organisasi - Sekolah,Administrasi Bisnis
69,80,78,83,Bisnis,Investasi,Sedang,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Ekonomi,Auditori,Entrepreneur,OSIS,Sekolah - Ekonomi,Kepemimpinan - Nasional,Manajemen
82,74,77,68,Teknik,Merakit Elektronik,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,Insinyur Mesin,Tidak Aktif,Kabupaten - Fisika,Pramuka - Kabupaten,Teknik Elektro
68,70,81,89,Bisnis,Berjualan,Sedang,Sedang,Tinggi,Sedang,Sedang,Tinggi,Bahasa Inggris,Auditori,Manajer,OSIS,Nasional - Ekonomi,Kepemimpinan - Sekolah,Manajemen
78,83,86,72,Teknologi,UI/UX Design,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Informatika,Membaca/Menulis,Business Analyst,OSIS,Sekolah - Informatika,Organisasi - Nasional,Sistem Informasi
86,73,87,80,Kesehatan,Penelitian,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Biologi,Membaca/Menulis,Dokter,Organisasi Keagamaan,Nasional - Biologi,Kepemimpinan - Kecamatan,Kedokteran
69,75,76,73,Olahraga,Basket,Rendah,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,PJOK,Kinestetik,Dosen,Paskibra,Sekolah - Biologi,Olahraga - Internasional,Ilmu Keolahragaan
84,88,94,81,Kesehatan,Penelitian,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Matematika,Visual,Dokter,PMR,Provinsi - Kimia,Seni - Kecamatan,Kedokteran
66,77,81,95,Seni,Musik,Tinggi,Sedang,Rendah,Rendah,Sedang,Tinggi,Kimia,Auditori,Apoteker,PMR,Kecamatan - Fisika,Seni - Kabupaten,Arsitektur
72,84,87,76,Kesehatan,Volunteering,Sedang,Sedang,Sedang,Tinggi,Rendah,Tinggi,Biologi,Membaca/Menulis,Dosen,OSIS,Provinsi - Kimia,Kepemimpinan - Kecamatan,Farmasi
72,65,65,65,Teknologi,Game Development,Tinggi,Sedang,Rendah,Tinggi,Rendah,Rendah,Informatika,Visual,Apoteker,OSIS,Tidak Ada,Organisasi - Kabupaten,Teknik Mesin
71,86,50,100,Sosial,Menulis,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sosiologi,Membaca/Menulis,Dosen,OSIS,Tidak Ada,Tidak Ada,Hukum
84,63,82,61,Teknik,Robotika,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Matematika,Visual,Insinyur Mesin,Tidak Aktif,Sekolah - Matematika,Organisasi - Provinsi,Teknik Mesin
63,85,76,70,Seni,Musik,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Rendah,Fisika,Membaca/Menulis,Manajer,BEM,Tidak Ada,Seni - Internasional,Arsitektur
80,80,66,85,Bisnis,Fotografi,Sedang,Tinggi,Tinggi,Sedang,Rendah,Tinggi,PJOK,Membaca/Menulis,Data Scientist,Pramuka,Tidak Ada,Organisasi - Kecamatan,Administrasi Bisnis
91,85,69,59,Seni,Desain Grafis,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,Arsitek,BEM,Provinsi - Fisika,Seni - Kabupaten,Arsitektur
77,70,71,77,Bisnis,Coding,Rendah,Rendah,Sedang,Tinggi,Tinggi,Rendah,Ekonomi,Kinestetik,Akuntan,Paskibra,Kecamatan - Informatika,Organisasi - Kabupaten,Sistem Informasi
80,78,76,81,Sosial,Content Creator,Sedang,Tinggi,Tinggi,Sedang,Sedang,Rendah,Sejarah,Membaca/Menulis,Pengacara,MPK,Tidak Ada,Tidak Ada,Manajemen
82,73,64,74,Kesehatan,Penelitian,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Sosiologi,Auditori,Dosen,BEM,Kecamatan - Biologi,Organisasi - Internasional,Psikologi
75,84,87,77,Teknik,Merakit Elektronik,Tinggi,Sedang,Sedang,Tinggi,Sedang,Sedang,Fisika,Visual,Insinyur Sipil,Tidak Aktif,Tidak Ada,Organisasi - Sekolah,Teknik Mesin
80,78,74,85,Teknologi,Berjualan,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,UI UX Designer,OSIS,Tidak Ada,Kepemimpinan - Internasional,Sistem Informasi
74,78,74,64,Kesehatan,Musik,Tinggi,Rendah,Rendah,Rendah,Rendah,Tinggi,Sejarah,Auditori,Manajer,PMR,Provinsi - Biologi,Seni - Sekolah,Farmasi
59,71,76,75,Sosial,Musik,Rendah,Tinggi,Sedang,Sedang,Rendah,Rendah,Seni Budaya,Membaca/Menulis,Business Analyst,Tidak Aktif,Kabupaten - Bahasa Inggris,Seni - Nasional,Pendidikan
84,66,74,96,Olahraga,Volunteering,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Rendah,Ekonomi,Membaca/Menulis,Business Analyst,Paskibra,Sekolah - Debat,Organisasi - Provinsi,Psikologi
78,80,80,75,Bisnis,Investasi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Ekonomi,Visual,Business Analyst,MPK,Sekolah - Ekonomi,Kepemimpinan - Kecamatan,Manajemen
88,81,85,77,Teknik,Penelitian,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Visual,Arsitek,BEM,Tidak Ada,Tidak Ada,Arsitektur
85,82,65,70,Pendidikan,Menulis,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Bahasa Indonesia,Membaca/Menulis,Guru,PMR,Tidak Ada,Tidak Ada,Pendidikan
84,66,64,75,Bisnis,Menulis,Sedang,Tinggi,Tinggi,Tinggi,Rendah,Sedang,Ekonomi,Membaca/Menulis,Akuntan,Organisasi Keagamaan,Kabupaten - Ekonomi,Pramuka - Nasional,Akuntansi
75,83,88,74,Lingkungan,Volunteering,Tinggi,Sedang,Tinggi,Sedang,Sedang,Tinggi,Fisika,Membaca/Menulis,Dosen,Pramuka,Tidak Ada,Organisasi - Kecamatan,Teknik Lingkungan
94,69,90,64,Teknik,Robotika,Sedang,Sedang,Rendah,Tinggi,Sedang,Tinggi,Matematika,Visual,Insinyur Mesin,Komunitas IT,Kabupaten - Matematika,Organisasi - Kecamatan,Teknik Elektro
94,88,73,81,Bisnis,Berjualan,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Sedang,Bahasa Inggris,Visual,Entrepreneur,OSIS,Kabupaten - Matematika,Organisasi - Kecamatan,Manajemen Bisnis
72,73,73,94,Bisnis,Menulis,Sedang,Sedang,Tinggi,Tinggi,Rendah,Tinggi,Ekonomi,Auditori,Akuntan,OSIS,Tidak Ada,Organisasi - Nasional,Administrasi Bisnis
98,86,94,72,Kesehatan,Penelitian,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Sedang,Biologi,Membaca/Menulis,Dokter,PMR,Kecamatan - Kimia,Organisasi - Sekolah,Kedokteran
82,75,69,75,Bisnis,Berjualan,Sedang,Tinggi,Tinggi,Tinggi,Tinggi,Sedang,Ekonomi,Visual,Entrepreneur,Karang Taruna,Kabupaten - Debat,Tidak Ada,Manajemen Bisnis
73,73,74,86,Sosial,Content Creator,Tinggi,Rendah,Sedang,Tinggi,Rendah,Sedang,Bahasa Indonesia,Auditori,Apoteker,PMR,Tidak Ada,Organisasi - Kabupaten,Ilmu Komunikasi
57,75,69,75,Olahraga,Atletik,Rendah,Sedang,Tinggi,Sedang,Sedang,Rendah,Seni Budaya,Membaca/Menulis,Data Scientist,Paskibra,Kecamatan - Biologi,Kepemimpinan - Provinsi,Ilmu Keolahragaan
74,85,69,68,Sosial,Public Speaking,Tinggi,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Bahasa Inggris,Visual,Manajer,OSIS,Internasional - Debat,Organisasi - Kabupaten,Ilmu Komunikasi
91,72,82,65,Teknik,Merakit Elektronik,Sedang,Rendah,Sedang,Sedang,Tinggi,Tinggi,Matematika,Kinestetik,Insinyur Sipil,Pramuka,Kecamatan - Fisika,Organisasi - Internasional,Teknik Sipil
69,75,51,62,Seni,Menggambar,Tinggi,Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Bahasa Inggris,Visual,UI UX Designer,OSIS,Kabupaten - Bahasa Inggris,Kepemimpinan - Sekolah,Desain Komunikasi Visual
96,80,87,66,Teknik,Robotika,Tinggi,Rendah,Sedang,Tinggi,Sedang,Sedang,Matematika,Kinestetik,Network Engineer,Komunitas IT,Kecamatan - Matematika,Organisasi - Provinsi,Teknik Elektro
96,79,89,61,Teknik,Fotografi,Sedang,Tinggi,Tinggi,Sedang,Tinggi,Tinggi,Matematika,Visual,UI UX Designer,Komunitas Seni,Sekolah - Matematika,Tidak Ada,Arsitektur
89,99,90,72,Kesehatan,Volunteering,Sedang,Sedang,Tinggi,Sedang,Rendah,Sedang,Biologi,Visual,Dokter,Organisasi Keagamaan,Kabupaten - Sains,Tidak Ada,Kedokteran
93,77,86,56,Teknik,Game Development,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Tinggi,Matematika,Kinestetik,Network Engineer,Komunitas IT,Tidak Ada,Kepemimpinan - Sekolah,Teknik Elektro
80,86,72,87,Sosial,Menulis,Sedang,Tinggi,Sedang,Rendah,Tinggi,Rendah,Informatika,Auditori,Business Analyst,PMR,Tidak Ada,Organisasi - Nasional,Administrasi Bisnis
84,65,83,63,Teknik,Merakit Elektronik,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,Insinyur Sipil,Pramuka,Tidak Ada,Olahraga - Nasional,Teknik Sipil
71,95,75,94,Bisnis,Public Speaking,Sedang,Sedang,Tinggi,Sedang,Sedang,Sedang,Matematika,Visual,Manajer,OSIS,Tidak Ada,Tidak Ada,Manajemen Bisnis
99,72,76,75,Teknologi,Coding,Sedang,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Matematika,Visual,Data Scientist,Komunitas IT,Sekolah - Matematika,Kepemimpinan - Sekolah,Teknik Informatika
94,68,82,57,Seni,Fotografi,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Sedang,Seni Budaya,Visual,Arsitek,BEM,Nasional - Sains,Seni - Kabupaten,Arsitektur
79,83,80,77,Lingkungan,Volunteering,Tinggi,Sedang,Tinggi,Tinggi,Rendah,Sedang,Matematika,Auditori,Insinyur Mesin,MPK,Sekolah - Biologi,Kepemimpinan - Nasional,Teknik Lingkungan
91,80,92,79,Teknologi,Coding,Tinggi,Tinggi,Rendah,Tinggi,Sedang,Tinggi,Informatika,Membaca/Menulis,Data Scientist,Komunitas IT,Tidak Ada,Olahraga - Kabupaten,Teknik Informatika
86,87,75,67,Bisnis,Membaca,Sedang,Tinggi,Tinggi,Tinggi,Sedang,Tinggi,Fisika,Membaca/Menulis,Insinyur Mesin,BEM,Sekolah - Matematika,Olahraga - Kabupaten,Teknik Industri
88,83,76,92,Bisnis,Membaca,Sedang,Tinggi,Sedang,Tinggi,Sedang,Sedang,Matematika,Visual,Business Analyst,Organisasi Keagamaan,Kabupaten - Matematika,Tidak Ada,Akuntansi
91,61,80,99,Bisnis,Berjualan,Sedang,Sedang,Sedang,Tinggi,Sedang,Sedang,Ekonomi,Membaca/Menulis,Akuntan,Tidak Aktif,Tidak Ada,Kepemimpinan - Sekolah,Akuntansi
76,84,68,89,Bisnis,Investasi,Sedang,Tinggi,Sedang,Tinggi,Tinggi,Sedang,Ekonomi,Auditori,Entrepreneur,MPK,Tidak Ada,Pramuka - Nasional,Administrasi Bisnis
85,64,88,85,Seni,Fotografi,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Fisika,Kinestetik,Arsitek,Komunitas Seni,Nasional - Matematika,Pramuka - Sekolah,Arsitektur
84,81,75,56,Teknik,Penelitian,Rendah,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Biologi,Membaca/Menulis,Akuntan,Komunitas Olahraga,Tidak Ada,Tidak Ada,Teknik Sipil
94,73,97,54,Teknik,Membaca,Sedang,Rendah,Tinggi,Sedang,Sedang,Tinggi,Fisika,Kinestetik,Insinyur Sipil,BEM,Kecamatan - Fisika,Tidak Ada,Teknik Sipil
61,72,66,84,Psikologi,Penelitian,Rendah,Tinggi,Sedang,Tinggi,Sedang,Tinggi,Bahasa Indonesia,Membaca/Menulis,Psikolog,BEM,Sekolah - Biologi,Tidak Ada,Psikologi
69,79,76,65,Lingkungan,Membaca,Sedang,Sedang,Rendah,Tinggi,Tinggi,Sedang,Biologi,Membaca/Menulis,Dosen,PMR,Kabupaten - Kimia,Organisasi - Provinsi,Teknik Lingkungan
74,72,73,77,Seni,Desain Grafis,Tinggi,Sedang,Sedang,Sedang,Tinggi,Rendah,Sosiologi,Kinestetik,Dosen,Paskibra,Sekolah - Sains,Seni - Kabupaten,Desain Komunikasi Visual
82,78,69,89,Bisnis,Berjualan,Sedang,Sedang,Sedang,Sedang,Rendah,Tinggi,Ekonomi,Auditori,Manajer,OSIS,Sekolah - Bahasa Inggris,Organisasi - Nasional,Administrasi Bisnis
100,69,83,59,Teknik,Penelitian,Tinggi,Sedang,Sedang,Tinggi,Sedang,Tinggi,Fisika,Kinestetik,Konsultan Lingkungan,Pramuka,Tidak Ada,Tidak Ada,Teknik Sipil
54,83,79,94,Sosial,Debat,Rendah,Tinggi,Tinggi,Tinggi,Sedang,Sedang,Bahasa Indonesia,Auditori,Pengacara,Tidak Aktif,Nasional - Debat,Tidak Ada,Hukum
64,84,79,80,Teknik,Desain Grafis,Tinggi,Sedang,Tinggi,Rendah,Sedang,Tinggi,Geografi,Auditori,Insinyur Mesin,Organisasi Keagamaan,Tidak Ada,Tidak Ada,Teknik Informatika
